WMO-Station ID; StationName;                                Latitude; Longitude; Height; Country
01001;          Jan Mayen;                                     70.94;    -08.67;      9; Norway                                         
01005;          Isfjord Radio;                                 78.06;     13.63;      9; Norway                                         
01007;          Ny-Alesund;                                    78.92;     11.93;      8; Norway                                         
01008;          Svalbard;                                      78.25;     15.50;     27; Norway                                         
01025;          Tromso/Langnes;                                69.68;     18.91;      9; Norway                                         
01026;          Tromso;                                        69.65;     18.94;    114; Norway                                         
01028;          Bjornoya;                                      74.50;     19.00;     16; Norway                                         
01065;          Karasjok;                                      69.46;     25.50;    131; Norway                                         
01098;          Vardo;                                         70.37;     31.10;     15; Norway                                         
01114;          Reipa;                                         66.90;     13.65;      9; Norway                                         
01152;          Bodo;                                          67.27;     14.36;     13; Norway                                         
01212;          Ona II;                                        62.86;     06.54;     15; Norway                                         
01233;          Dombaas;                                       62.07;     09.12;    638; Norway                                         
01236;          Kjoremsgrende;                                 62.10;     09.05;    626; Norway                                         
01238;          Fokstugu;                                      62.11;     09.29;    974; Norway                                         
01241;          Orland Airp.;                                  63.70;     09.60;      9; Norway                                         
01258;          Trondheim/Moholt;                              63.42;     10.43;    118; Norway                                         
01271;          Trondheim Airp.;                               63.46;     10.94;     17; Norway                                         
01316;          Bergen/Fredriksberg;                           60.40;     05.32;     40; Norway                                         
01317;          Bergen;                                        60.38;     05.33;     36; Norway                                         
01373;          Nesbyen;                                       60.57;     09.13;    167; Norway                                         
01384;          Oslo-Gardermoen;                               60.21;     11.08;    208; Norway                                         
01389;          Rena Airp.;                                    61.19;     11.37;    256; Norway                                         
01403;          Utsira Fyr;                                    59.31;     04.87;     56; Norway                                         
01415;          Stavanger/Sola;                                58.88;     05.64;      9; Norway                                         
01465;          Torungen Fyr;                                  58.40;     08.79;     15; Norway                                         
01492;          Oslo-Blindern;                                 59.94;     10.72;     97; Norway                                         
02080;          Karesuando;                                    68.45;     22.45;    330; Sweden                                         
02081;          Karesuando;                                    68.44;     22.44;    332; Sweden                                         
02087;          Jönköping Airp.;                               57.77;     14.09;    226; Sweden                                         
02119;          Kvikkjokk Arrenjarka;                          66.89;     18.02;    317; Sweden                                         
02120;          Kvikkjokk-Arrenjarka;                          66.88;     18.02;    315; Sweden                                         
02126;          Gunnarn;                                       65.01;     17.70;    275; Sweden                                         
02127;          Stensele;                                      65.07;     17.15;    325; Sweden                                         
02128;          Gunnarn;                                       65.02;     17.68;    281; Sweden                                         
02196;          Haparanda;                                     65.83;     24.15;      6; Sweden                                         
02197;          Haparanda;                                     65.82;     24.11;     15; Sweden                                         
02226;          Ostersund-Froson;                              63.20;     14.48;    375; Sweden                                         
02287;          Holmon;                                        63.80;     20.86;      8; Sweden                                         
02288;          Holmogadd;                                     63.60;     20.75;      6; Sweden                                         
02361;          Harnosand;                                     62.63;     17.95;      8; Sweden                                         
02366;          Sundsvall-Timra Airp.;                         62.52;     17.45;      5; Sweden                                         
02407;          Malung;                                        60.68;     13.71;    305; Sweden                                         
02410;          Malung;                                        60.68;     13.70;    308; Sweden                                         
02418;          Karlstad Airp.;                                59.44;     13.34;    107; Sweden                                         
02464;          Stockholm/Bromma;                              59.36;     17.93;     15; Sweden                                         
02485;          Stockholm;                                     59.35;     18.05;     44; Sweden                                         
02512;          Goteborg;                                      57.78;     11.88;     16; Sweden                                         
02514;          Goteborg/Torslanda;                            57.72;     11.78;      8; Sweden                                         
02550;          Joenkoeping Airp.;                             57.75;     14.07;    226; Sweden                                         
02584;          Gotska Sandon;                                 58.40;     19.20;     12; Sweden                                         
02589;          Gotska Sandon;                                 58.39;     19.20;     17; Sweden                                         
02590;          Visby;                                         57.67;     18.35;     51; Sweden                                         
02616;          Falsterbo;                                     55.38;     12.82;      5; Sweden                                         
02768;          Heinola Asemantaus;                            61.20;     26.05;     92; Finland                                        
02778;          Punkaharju-Laukansaari;                        61.80;     29.32;     80; Finland                                        
02788;          Kuopio/Maaninka;                               63.14;     27.32;     91; Finland                                        
02791;          Juuka;                                         63.23;     29.23;    116; Finland                                        
02801;          Kilpisjarvi;                                   69.05;     20.79;    486; Finland                                        
02803;          Siikajoki-Revonlahti;                          64.68;     25.09;     50; Finland                                        
02805;          Utsjoki-Kevo;                                  69.76;     27.02;    107; Finland                                        
02812;          Ylitornio-Meltosjarvi;                         66.53;     24.65;     93; Finland                                        
02823;          Muonio;                                        67.96;     23.68;    239; Finland                                        
02828;          Kaarina-Yltoinen;                              60.39;     22.55;      5; Finland                                        
02829;          Hyvinkaa;                                      60.60;     24.80;     88; Finland                                        
02833;          Seinajoki-Pelmaa;                              62.94;     22.49;     32; Finland                                        
02835;          Inari-Nellim;                                  68.85;     28.30;    123; Finland                                        
02836;          Sodankyla;                                     67.37;     26.63;    179; Finland                                        
02849;          Salla Myllytie;                                66.83;     28.68;    222; Finland                                        
02869;          Kuusamo Airport;                               66.00;     29.22;    266; Finland                                        
02875;          Oulu;                                          64.93;     25.37;     15; Finland                                        
02879;          Suomusalmi;                                    64.90;     29.00;    223; Finland                                        
02897;          Kajaani Airp.;                                 64.28;     27.67;    134; Finland                                        
02911;          Vaasa Airp.;                                   63.05;     21.77;      8; Finland                                        
02912;          Vaasa;                                         63.10;     21.58;     14; Finland                                        
02929;          Joensuu Airp.;                                 62.66;     29.61;    121; Finland                                        
02935;          Jyvaskyla Airp.;                               62.40;     25.67;    141; Finland                                        
02937;          Kokemaki Tulkkila;                             61.25;     22.35;     39; Finland                                        
02942;          Kankaanpaa Niinisalo;                          61.84;     22.46;    125; Finland                                        
02958;          Lappeenranta;                                  61.04;     28.15;    106; Finland                                        
02963;          Jokioinen;                                     60.81;     23.50;    104; Finland                                        
02972;          Turku Airp.;                                   60.52;     22.27;     59; Finland                                        
02974;          Helsinki Vantaa-Airp.;                         60.33;     24.96;     54; Finland                                        
02978;          Helsinki Kaisaniemi;                           60.18;     24.94;      4; Finland                                        
02981;          Uto;                                           59.78;     21.37;      7; Finland                                        
03005;          Lerwick;                                       60.14;    -01.18;     82; United Kingdom of Great Britain and N.-Ireland 
03017;          Kirkwall;                                      58.95;    -02.90;     26; United Kingdom of Great Britain and N.-Ireland 
03026;          Stornoway Airp.;                               58.21;    -06.32;     15; United Kingdom of Great Britain and N.-Ireland 
03066;          Kinloss;                                       57.65;    -03.56;      5; United Kingdom of Great Britain and N.-Ireland 
03091;          Aberdeen-Dyce;                                 57.21;    -02.21;     65; United Kingdom of Great Britain and N.-Ireland 
03100;          Tiree;                                         56.50;    -06.88;     12; United Kingdom of Great Britain and N.-Ireland 
03160;          Edinburgh Airp.;                               55.95;    -03.35;     41; United Kingdom of Great Britain and N.-Ireland 
03162;          Eskdalemuir;                                   55.31;    -03.21;    236; United Kingdom of Great Britain and N.-Ireland 
03171;          Leuchars;                                      56.38;    -02.86;     12; United Kingdom of Great Britain and N.-Ireland 
03257;          Leeming;                                       54.30;    -01.53;     33; United Kingdom of Great Britain and N.-Ireland 
03302;          Valley Airp.;                                  53.25;    -04.54;     11; United Kingdom of Great Britain and N.-Ireland 
03318;          Blackpool, Squires Gate;                       53.78;    -03.02;     10; United Kingdom of Great Britain and N.-Ireland 
03334;          Manchester Airp.;                              53.35;    -02.27;     69; United Kingdom of Great Britain and N.-Ireland 
03377;          Waddington;                                    53.18;    -00.52;     69; United Kingdom of Great Britain and N.-Ireland 
03414;          Shawbury;                                      52.79;    -02.66;     72; United Kingdom of Great Britain and N.-Ireland 
03502;          Aberporth;                                     52.14;    -04.57;    133; United Kingdom of Great Britain and N.-Ireland 
03534;          Birmingham Airp.;                              52.45;    -01.74;     99; United Kingdom of Great Britain and N.-Ireland 
03586;          Honington Airp.;                               52.34;     00.78;     51; United Kingdom of Great Britain and N.-Ireland 
03590;          Wattisham;                                     52.12;     00.96;     90; United Kingdom of Great Britain and N.-Ireland 
03715;          Cardiff Airp.;                                 51.40;    -03.35;     67; United Kingdom of Great Britain and N.-Ireland 
03740;          Lyneham;                                       51.50;    -01.99;    145; United Kingdom of Great Britain and N.-Ireland 
03772;          London-Heathrow;                               51.48;    -00.45;     25; United Kingdom of Great Britain and N.-Ireland 
03775;          Kew (Royal Botanic Garden);                    51.48;    -00.30;      6; United Kingdom of Great Britain and N.-Ireland 
03776;          London/Gatwick Airp.;                          51.15;    -00.18;     62; United Kingdom of Great Britain and N.-Ireland 
03797;          Manston;                                       51.35;     01.34;     49; United Kingdom of Great Britain and N.-Ireland 
03808;          Camborne;                                      50.22;    -05.33;     87; United Kingdom of Great Britain and N.-Ireland 
03827;          Plymouth, Mount Batton;                        50.40;    -04.10;     30; United Kingdom of Great Britain and N.-Ireland 
03862;          Bournemouth Airp.;                             50.78;    -01.84;     10; United Kingdom of Great Britain and N.-Ireland 
03917;          Belfast Airp.;                                 54.66;    -06.23;     63; United Kingdom of Great Britain and N.-Ireland 
03952;          Roches Point;                                  51.80;    -08.25;      3; Ireland                                        
03953;          Valentia Observ.;                              51.94;    -10.24;     25; Ireland                                        
03955;          Cork Airp.;                                    51.85;    -08.48;    162; Ireland                                        
03956;          Johnstown Castle;                              52.30;    -06.50;     63; Ireland                                        
03957;          Rosslare;                                      52.25;    -06.33;     25; Ireland                                        
03960;          Kilkenny;                                      52.65;    -07.27;     65; Ireland                                        
03962;          Shannon;                                       52.70;    -08.92;     20; Ireland                                        
03964;          Galway;                                        53.28;    -09.02;     21; Ireland                                        
03965;          Birr;                                          53.08;    -07.88;     72; Ireland                                        
03967;          Dublin/Casement Airp.;                         53.30;    -06.43;     93; Ireland                                        
03969;          Dublin Airp.;                                  53.42;    -06.30;     85; Ireland                                        
03970;          Claremorris;                                   53.72;    -08.98;     69; Ireland                                        
03971;          Mullingar;                                     53.54;    -07.36;    101; Ireland                                        
03973;          Knock Airp.;                                   53.91;    -08.81;    209; Ireland                                        
03974;          Clones;                                        54.18;    -07.23;     87; Ireland                                        
03976;          Belmullet;                                     54.23;    -10.01;     10; Ireland                                        
03980;          Malin Head;                                    55.37;    -07.34;     21; Ireland                                        
04013;          Stykkisholmur;                                 65.07;    -22.73;     16; Iceland                                        
04018;          Keflavik Airp.;                                63.98;    -22.60;     54; Iceland                                        
04030;          Reykjavik;                                     64.13;    -21.90;     61; Iceland                                        
04048;          Vestmannaeyjar;                                63.40;    -20.28;    124; Iceland                                        
04063;          Akureyri;                                      65.69;    -18.10;     27; Iceland                                        
04082;          Hofn Airp.;                                    64.30;    -15.22;     21; Iceland                                        
04195;          Prins Christianssund;                          60.05;    -43.14;     75; Iceland                                        
04209;          Upernavik Automat;                             72.79;    -56.14;     63; Greenland                                      
04210;          Upernavik;                                     72.79;    -56.14;     63; Greenland                                      
04211;          Upernavik;                                     72.79;    -56.13;    130; Greenland                                      
04220;          Aasiaat (Egedesminde);                         68.71;    -52.85;     41; Greenland                                      
04250;          Nuuk (Godthaab);                               64.17;    -51.75;     84; Greenland                                      
04270;          Narsarsuaq;                                    61.16;    -45.42;     31; Greenland                                      
04301;          Kap Morris Jesup;                              83.66;    -33.37;      4; Greenland                                      
04310;          Station Nord;                                  81.60;    -16.70;     36; Greenland                                      
04312;          Station Nord;                                  81.60;    -16.65;     36; Greenland                                      
04320;          Danmarkshavn;                                  76.77;    -18.67;     12; Greenland                                      
04339;          Ittoqqortoormiit (Scoresbysund);               70.49;    -21.95;     72; Greenland                                      
04340;          Cape Tobin;                                    70.42;    -21.97;     41; Greenland                                      
04360;          Tasiilaq (Ammassalik);                         65.61;    -37.64;     56; Greenland                                      
04390;          Ikerasassuaq (Christian Sund);                 60.06;    -43.17;     75; Greenland                                      
06011;          Thorshavn;                                     62.02;    -06.76;     56; Faroe Islands                                  
06030;          Aalborg Airp.;                                 57.10;     09.85;     13; Denmark                                        
06186;          Koebenhavn;                                    55.69;     12.54;      9; Denmark                                        
06190;          Bornholms Lufhavn;                             55.07;     14.75;     17; Denmark                                        
06199;          Dueodde;                                       55.00;     15.09;      6; Denmark                                        
06235;          De Kooij;                                      52.93;     04.78;      1; Netherlands                                    
06260;          De Bilt;                                       52.10;     05.18;      4; Netherlands                                    
06280;          Groningen Airp.;                               53.12;     06.58;      4; Netherlands                                    
06310;          Vlissingen;                                    51.44;     03.60;     10; Netherlands                                    
06380;          Maastricht Airp.;                              50.91;     05.76;    113; Netherlands                                    
06447;          Bruessel (Uccle);                              50.80;     04.36;    101; Belgium                                        
06590;          Luxembourg;                                    49.62;     06.22;    376; Luxembourg                                     
06601;          Basel-Binningen;                               47.54;     07.58;    317; Switzerland                                    
06610;          Payerne;                                       46.81;     06.94;    491; Switzerland                                    
06631;          Bern-Zollikofen;                               46.99;     07.46;    552; Switzerland                                    
06660;          Zuerich/Fluntern;                              47.38;     08.57;    558; Switzerland                                    
06680;          Saentis;                                       47.25;     09.34;   2494; Switzerland                                    
06700;          Geneve Airp.;                                  46.25;     06.13;    413; Switzerland                                    
06705;          Nyon;                                          46.40;     06.23;    459; Switzerland                                    
06717;          Col du Grand St. Bernard;                      45.87;     07.17;   2487; Switzerland                                    
06720;          Sion;                                          46.22;     07.33;    483; Switzerland                                    
06770;          Lugano;                                        46.01;     08.96;    301; Switzerland                                    
07005;          Abbeville;                                     50.14;     01.83;     72; France                                         
07015;          Lille-Lesquin;                                 50.57;     03.10;     47; France                                         
07020;          Cap de la Hague;                               49.72;    -01.94;      8; France                                         
07024;          Cherbourg-Maupertus;                           49.65;    -01.47;    138; France                                         
07027;          Caen-Carpiquet;                                49.18;    -00.46;     67; France                                         
07037;          Rouen-Boos;                                    49.38;     01.18;    152; France                                         
07070;          Reims-Courcy;                                  49.30;     04.03;     91; France                                         
07072;          Reims-Prunay;                                  49.21;     04.15;     95; France                                         
07100;          Ile-d'Ouessant;                                48.47;    -05.06;     67; France                                         
07110;          Brest-Guipavas;                                48.44;    -04.41;     95; France                                         
07117;          Ploumanac'h;                                   48.83;    -03.48;     58; France                                         
07130;          Rennes Airp.;                                  48.07;    -01.73;     37; France                                         
07139;          Alencon;                                       48.45;     00.11;    145; France                                         
07145;          Trappes;                                       48.77;     02.02;    168; France                                         
07149;          Paris-Orly;                                    48.72;     02.38;     90; France                                         
07150;          Paris/Le Bourget;                              48.97;     02.45;     67; France                                         
07168;          Troyes-Barberey;                               48.32;     04.02;    118; France                                         
07180;          Nancy-Essey;                                   48.69;     06.22;    213; France                                         
07181;          Nancy-Ochey;                                   48.58;     05.96;    343; France                                         
07190;          Strasbourg-Entzheim Airp.;                     48.55;     07.64;    154; France                                         
07207;          Belle Ile-Le Talut;                            47.30;    -03.22;     43; France                                         
07222;          Nantes-Bouguenais;                             47.15;    -01.61;     26; France                                         
07240;          Tours;                                         47.44;     00.73;    112; France                                         
07255;          Bourges;                                       47.06;     02.36;    166; France                                         
07265;          Auxerre;                                       47.80;     03.55;    207; France                                         
07280;          Dijon-Longvic;                                 47.27;     05.09;    227; France                                         
07299;          Bale-Mulhouse Airp.;                           47.61;     07.51;    273; France                                         
07314;          Pointe de Chassiron;                           46.05;    -01.41;     23; France                                         
07335;          Poitiers;                                      46.59;     00.31;    120; France                                         
07434;          Limoges-Bellegarde;                            45.86;     01.18;    403; France                                         
07435;          Limoges;                                       45.82;     01.28;    284; France                                         
07460;          Clermont-Ferrand;                              45.79;     03.15;    326; France                                         
07471;          Le Puy-Loudes Airp.;                           45.07;     03.76;    833; France                                         
07480;          Lyon-Bron;                                     45.73;     04.94;    198; France                                         
07481;          Lyon /St. Exupery Airp.;                       45.73;     05.08;    240; France                                         
07510;          Bordeaux-Merignac;                             44.83;    -00.69;     54; France                                         
07535;          Gourdon;                                       44.75;     01.40;    261; France                                         
07558;          Millau;                                        44.12;     03.02;    715; France                                         
07560;          Mont Aigoual;                                  44.12;     03.58;   1564; France                                         
07577;          Montelimar;                                    44.58;     04.73;     74; France                                         
07591;          Embrun;                                        44.57;     06.50;    877; France                                         
07607;          Mont-de-Marsan;                                43.91;    -00.50;     59; France                                         
07621;          Tarbes-Ossun;                                  43.19;     00.00;    364; France                                         
07627;          Saint Girons;                                  43.01;     01.11;    411; France                                         
07630;          Toulouse Blagnac;                              43.62;     01.38;    150; France                                         
07643;          Montpellier;                                   43.58;     03.96;      8; France                                         
07645;          Nimes-Courbessac;                              43.86;     04.41;     62; France                                         
07650;          Marseille-Marignane Airp.;                     43.44;     05.22;     32; France                                         
07661;          Cap Cepet;                                     43.08;     05.94;    134; France                                         
07690;          Nice Airp.;                                    43.65;     07.21;     26; France                                         
07747;          Perpignan;                                     42.74;     02.87;     44; France                                         
07761;          Ajaccio;                                       41.92;     08.79;      9; France                                         
07790;          Bastia Airp.;                                  42.54;     09.49;     12; France                                         
08001;          La Coruna;                                     43.37;    -08.42;     67; Spain                                          
08002;          La Coruna/Alvedro;                             43.31;    -08.37;    103; Spain                                          
08008;          Lugo/Rozas;                                    43.11;    -07.46;    446; Spain                                          
08011;          Asturias/Aviles;                               43.57;    -06.04;    130; Spain                                          
08014;          Gijon-Musel;                                   43.56;    -05.70;      6; Spain                                          
08015;          Oviedo;                                        43.35;    -05.87;    339; Spain                                          
08021;          Santander Airp.;                               43.43;    -03.83;      1; Spain                                          
08023;          Santander;                                     43.49;    -03.80;     59; Spain                                          
08025;          Bilbao Airp.;                                  43.30;    -02.91;     39; Spain                                          
08027;          San Sebastian/Igueldo;                         43.31;    -02.04;    259; Spain                                          
08029;          Hondarribia Airp.;                             43.36;    -01.79;      4; Spain                                          
08042;          Santiago de Compostela Airp.;                  42.89;    -08.41;    367; Spain                                          
08044;          Pontevedra;                                    42.44;    -08.62;    108; Spain                                          
08045;          Vigo/Peinador;                                 42.24;    -08.62;    258; Spain                                          
08048;          Orense;                                        42.33;    -07.86;    147; Spain                                          
08053;          Ponferrada;                                    42.56;    -06.60;    550; Spain                                          
08055;          Leon/Virgen del Camino;                        42.59;    -05.65;    914; Spain                                          
08075;          Burgos/Villafria;                              42.36;    -03.62;    892; Spain                                          
08080;          Vitoria Airp.;                                 42.87;    -02.73;    510; Spain                                          
08084;          Logrono/Agoncillo;                             42.45;    -02.33;    363; Spain                                          
08085;          Pamplona/Noain;                                42.78;    -01.65;    453; Spain                                          
08094;          Huesca-Pirineos;                               42.08;    -00.33;    554; Spain                                          
08130;          Zamora;                                        41.52;    -05.74;    667; Spain                                          
08140;          Valladolid/Villanubla;                         41.71;    -04.86;    846; Spain                                          
08141;          Valladolid;                                    41.64;    -04.75;    735; Spain                                          
08148;          Soria;                                         41.78;    -02.48;   1082; Spain                                          
08160;          Zaragoza Airp.;                                41.66;    -01.00;    258; Spain                                          
08161;          Zaragoza;                                      41.63;    -00.90;    222; Spain                                          
08171;          Lleida;                                        41.63;     00.60;    199; Spain                                          
08175;          Reus Airp.;                                    41.15;     01.18;     76; Spain                                          
08180;          Barcelona;                                     41.42;     02.13;    180; Spain                                          
08181;          Barcelona Airp.;                               41.29;     02.07;      5; Spain                                          
08184;          Girona Airp.;                                  41.91;     02.76;    129; Spain                                          
08202;          Salamanca Airp.;                               40.96;    -05.50;    794; Spain                                          
08210;          Avila;                                         40.66;    -04.68;   1132; Spain                                          
08213;          Segovia;                                       40.95;    -04.13;   1005; Spain                                          
08215;          Navacerrada;                                   40.79;    -04.01;   1888; Spain                                          
08219;          Colmenar Viejo/Famet;                          40.70;    -03.77;    998; Spain                                          
08221;          Madrid/Barajas;                                40.47;    -03.56;    582; Spain                                          
08222;          Madrid Retiro;                                 40.41;    -03.68;    667; Spain                                          
08223;          Madrid/Cuatro Vientos;                         40.38;    -03.79;    687; Spain                                          
08224;          Getafe;                                        40.30;    -03.72;    617; Spain                                          
08226;          Guadalajara;                                   40.63;    -03.15;    639; Spain                                          
08227;          Torrejon de Ardoz;                             40.48;    -03.44;    607; Spain                                          
08231;          Cuenca;                                        40.07;    -02.13;    946; Spain                                          
08232;          Molina de Aragon;                              40.84;    -01.88;   1063; Spain                                          
08235;          Teruel;                                        40.35;    -01.12;    902; Spain                                          
08238;          Tortosa;                                       40.82;     00.49;     50; Spain                                          
08261;          Caceres;                                       39.47;    -06.34;    391; Spain                                          
08272;          Toledo;                                        39.88;    -04.05;    516; Spain                                          
08280;          Albacete Airp.;                                38.95;    -01.86;    704; Spain                                          
08284;          Valencia Airp.;                                39.49;    -00.47;     62; Spain                                          
08285;          Valencia Viveros;                              39.48;    -00.37;     11; Spain                                          
08286;          Castellon-Alamazora;                           39.96;    -00.07;     44; Spain                                          
08301;          Palma de Mallorca;                             39.55;     02.62;      6; Spain                                          
08302;          P.d. Mallorca-Son Bonet;                       39.61;     02.71;     41; Spain                                          
08306;          Palma de Mallorca Airp.;                       39.56;     02.74;      5; Spain                                          
08307;          Pollensa;                                      39.90;     03.11;      7; Spain                                          
08314;          Aeropuerto de Menorca;                         39.85;     04.22;     86; Spain                                          
08329;          Badajoz;                                       38.88;    -06.97;    195; Spain                                          
08330;          Badajoz Airp.;                                 38.88;    -06.81;    192; Spain                                          
08348;          Ciudad Real;                                   38.99;    -03.92;    629; Spain                                          
08358;          Alicante/Rabasa;                               38.38;    -00.52;    102; Spain                                          
08359;          Alicante;                                      38.37;    -00.49;     82; Spain                                          
08360;          Alicante/ L'Altet;                             38.28;    -00.57;     31; Spain                                          
08373;          Ibiza Airp.;                                   38.88;     01.38;     17; Spain                                          
08383;          Huelva;                                        37.28;    -06.91;     20; Spain                                          
08390;          Sevilla/Los Remedios;                          37.37;    -06.00;     14; Spain                                          
08391;          Sevilla Airp.;                                 37.42;    -05.88;     31; Spain                                          
08397;          Moron de la Frontera;                          37.16;    -05.61;     88; Spain                                          
08410;          Cordoba Airp.;                                 37.85;    -04.85;     92; Spain                                          
08417;          Jaen;                                          37.78;    -03.81;    580; Spain                                          
08419;          Granada Airp.;                                 37.19;    -03.79;    570; Spain                                          
08420;          Granada/Armilla;                               37.14;    -03.63;    692; Spain                                          
08429;          Murcia/Alcantarilla;                           37.96;    -01.23;     75; Spain                                          
08430;          Murcia;                                        38.00;    -01.17;     62; Spain                                          
08433;          Murcia/San Javier;                             37.79;    -00.80;      3; Spain                                          
08449;          Rota/Base Naval;                               36.64;    -06.33;     23; Spain                                          
08451;          Jerez de la Frontera Airp.;                    36.75;    -06.06;     28; Spain                                          
08452;          Cadiz;                                         36.50;    -06.26;      9; Spain                                          
08482;          Malaga Airp.;                                  36.67;    -04.48;      7; Spain                                          
08487;          Almeria Airp.;                                 36.85;    -02.36;     21; Spain                                          
08488;          Almeria;                                       36.83;    -02.47;      6; Spain                                          
08495;          Gibraltar;                                     36.15;    -05.35;      5; Gibraltar                                      
08501;          Flores/Acores;                                 39.45;    -31.13;     29; Portugal                                       
08506;          Horta/Acores;                                  38.52;    -28.63;     62; Portugal                                       
08509;          Lajes/Acores;                                  38.76;    -27.09;     54; Portugal                                       
08512;          Ponta Delgada/Acores;                          37.74;    -25.70;     77; Portugal                                       
08513;          Ponta Delgada/Acores;                          37.75;    -25.67;     36; Portugal                                       
08515;          Santa Maria/Acores;                            36.97;    -25.17;     97; Portugal                                       
08521;          Funchal/St. Cruz;                              32.70;    -16.77;     58; Portugal                                       
08522;          Funchal;                                       32.65;    -16.90;     58; Portugal                                       
08524;          Porto Santo Airp.;                             33.07;    -16.35;     82; Portugal                                       
08535;          Lisbon;                                        38.72;    -09.15;     95; Portugal                                       
08536;          Lisboa/Portela;                                38.77;    -09.13;    123; Portugal                                       
08545;          Porto/Pedras Rubras;                           41.23;    -08.68;     69; Portugal                                       
08546;          Porto;                                         41.13;    -08.61;    100; Portugal                                       
08548;          Coimbra/Cernache;                              40.15;    -08.47;    179; Portugal                                       
08549;          Coimbra;                                       40.20;    -08.42;    140; Portugal                                       
08554;          Faro Airp.;                                    37.02;    -07.97;      9; Portugal                                       
08557;          Evora;                                         38.57;    -07.90;    321; Portugal                                       
